Cell	CellType
703591588	Sst Rxfp1 Prdm8
703610080	Sst Esm1
703963200	Sst Crhr2 Efemp1
703972537	Sst Myh8 Etv1 
703992393	Sst Hpse Cbln4
704012357	Sst Hpse Cbln4
704012705	Sst Mme Fam114a1
704047023	Sst Calb2 Pdlim5
704070516	Pvalb Th Sst
704071039	Sst Crhr2 Efemp1
704086017	Pvalb Th Sst
704272923	Vip Pygm C1ql1
704285908	Vip Pygm C1ql1
704402841	Sst Rxfp1 Prdm8
704410009	Sst Hpse Sema3c
704411495	Sst Mme Fam114a1
704444653	Sst Rxfp1 Prdm8
704462624	Sst Calb2 Pdlim5
704482491	Sst Calb2 Pdlim5
704531371	Sst Calb2 Pdlim5
704652028	Vip Lmo1 Fam159b
704670940	Pvalb Vipr2
704701827	Sst Rxfp1 Eya1
704728420	Pvalb Akr1c18 Ntf3
704759134	Sst Rxfp1 Prdm8
704760377	Pvalb Akr1c18 Ntf3
704762338	Pvalb Vipr2
704768671	Sst Crh 4930553C11Rik 
704769317	Sst Rxfp1 Prdm8
704985586	Sst Calb2 Pdlim5
705173927	Sst Crhr2 Efemp1
